No.	params	ObjVehicle	ObjBuilding	ObjBuilding	ObjBuilding	ObjBuilding	ObjBuilding	ObjBuilding	ObjBuilding	ObjBuilding
0	conditions	default	"type=res,com,ind"	"type=cur,mon"	type=tow	type=hq	type=stop	type=extension	type=deport	type=harbour
1	name	o	o	o	o	o	o	o	o	o
2	copyright	o	o	o	o	o	o	o	o	o
3	way-type	o					o	o	o	
4	engine-type	o								
5	speed	o								
6	payload	o								
7	weight	o								
8	power	o								
9	gear	o								
10	cost	o								
11	running-cost	o								
12	length	o								
13	smoke	o								
14	sound	o								
15	loading-time	o								
16	intro-year	o								
17	intro-month	o								
18	retire-year	o								
19	retire-month	o								
20	constraint	o								
21	freight	o								
22	freightimagetype	o								
23	image	o								
24	noinfo		o	o	o	o	o	o	o	o
25	noconstruction		o	o	o	o	o	o	o	o
26	type		o	o	o	o	o	o	o	o
27	needs_ground		o	o	o	o	o	o	o	o
28	animation_time		o	o	o	o	o	o	o	o
29	climates		o	o	o	o	o	o	o	o
30	clusters		o							
31	chance		o	o			o	o	o	
32	level		o	o	o	o	o	o		o
33	dims		o	o	o	o		o		
34	build_time			o	o	o				
35	passengers			o						
36	hq_level					o				
37	enables_pax						o	o		o
38	enables_post						o	o		o
39	enables_ware						o	o		o
40	allow_underground						o			
41	icon						o	o	o	o
42	cursor						o	o	o	o
43	backimage		o	o	o	o	o	o	o	o
44	frontimage		o	o	o	o	o	o	o	o
